City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Cascais,PT,2022-12-11 22:29:00,38.6979,-9.4215,65.52,95,97,20.0
139,Auki,SB,2022-12-11 22:29:01,-8.7676,160.7034,80.76,83,100,2.86
140,Isangel,VU,2022-12-11 22:29:01,-19.55,169.2667,84.31,79,40,9.22
141,Golden,US,2022-12-11 22:29:01,39.7555,-105.2211,62.49,13,40,15.99
142,Chokurdakh,RU,2022-12-11 22:29:02,70.6333,147.9167,-23.8,100,97,7.11
143,Bluff,NZ,2022-12-11 22:29:02,-46.6,168.3333,63.81,79,68,4.85
144,Millington,US,2022-12-11 22:29:03,35.3415,-89.8973,53.19,88,100,6.91
145,Sagua La Grande,CU,2022-12-11 22:29:03,22.8067,-80.0756,76.19,62,8,9.26
146,Ribeira Grande,PT,2022-12-11 22:29:04,38.5167,-28.7,64.78,86,15,18.99
147,Kaitangata,NZ,2022-12-11 22:29:04,-46.2817,169.8464,59.31,76,94,4.88
148,Bengkulu,ID,2022-12-11 22:29:04,-3.8004,102.2655,74.44,86,98,6.2
149,Tiksi,RU,2022-12-11 22:29:05,71.6872,128.8694,-19.16,95,100,11.61
150,Husainabad,IN,2022-12-11 22:29:05,24.5333,84.0167,57.94,47,19,3.04
151,Amuntai,ID,2022-12-11 22:29:05,-2.4177,115.2494,73.81,97,100,0.83
152,Asfi,MA,2022-12-11 22:29:06,32.2994,-9.2372,65.16,88,2,11.81
153,Winsum,NL,2022-12-11 22:29:06,53.33,6.5208,33.78,89,100,5.7
154,La Ronge,CA,2022-12-11 22:29:06,55.1001,-105.2842,16.05,86,100,9.22
155,Souillac,MU,2022-12-11 22:29:07,-20.5167,57.5167,75.58,78,40,8.05
156,Sur,OM,2022-12-11 22:29:07,22.5667,59.5289,74.14,62,0,8.86
157,Hobart,AU,2022-12-11 22:29:04,-42.8794,147.3294,57.25,96,75,10.36
158,Jacareacanga,BR,2022-12-11 22:29:08,-6.2222,-57.7528,78.51,78,100,0.96
159,Kaduna,NG,2022-12-11 22:27:18,10.5222,7.4383,69.89,20,90,7.2
160,Tateyama,JP,2022-12-11 22:29:08,34.9833,139.8667,48.09,63,100,18.66
161,Bilma,NE,2022-12-11 22:29:08,18.6853,12.9164,68.76,15,31,4.79
162,Kenai,US,2022-12-11 22:29:09,60.5544,-151.2583,26.69,95,100,19.57
163,Torbay,CA,2022-12-11 22:29:09,47.6666,-52.7314,30.76,94,100,14.0
164,Zhuanghe,CN,2022-12-11 22:29:10,39.7008,122.9911,31.44,59,100,4.56
165,Aitape,PG,2022-12-11 22:29:10,-3.1374,142.3475,78.58,87,100,4.45
166,Tobermory,CA,2022-12-11 22:29:10,45.2501,-81.6665,30.25,79,100,13.67
167,Cabo San Lucas,MX,2022-12-11 22:29:11,22.8909,-109.9124,79.61,65,0,8.05
168,Mogadishu,SO,2022-12-11 22:27:42,2.0371,45.3438,79.0,76,6,16.13
169,Binga,ZW,2022-12-11 22:29:11,-17.6203,27.3414,76.62,66,12,1.3
170,Nizhniy Bestyakh,RU,2022-12-11 22:29:12,61.9594,129.9086,-45.53,64,100,2.24
171,Mzimba,MW,2022-12-11 22:25:21,-11.9,33.6,63.19,89,36,7.9
172,Longyearbyen,SJ,2022-12-11 22:29:12,78.2186,15.6401,13.84,52,75,18.41
173,Ormara,PK,2022-12-11 22:29:13,25.2088,64.6357,74.77,63,27,6.67
174,Castro,BR,2022-12-11 22:29:13,-24.7911,-50.0119,68.23,92,75,4.23
175,Vestmannaeyjar,IS,2022-12-11 22:29:13,63.4427,-20.2734,35.56,56,2,6.46
176,Ola,RU,2022-12-11 22:29:14,59.5833,151.2833,-15.5,95,85,7.2
177,North Bend,US,2022-12-11 22:29:14,43.4065,-124.2243,50.23,92,0,6.91
178,Lakatoro,VU,2022-12-11 22:29:14,-16.0999,167.4164,83.64,67,43,0.96
179,Igatpuri,IN,2022-12-11 22:29:15,19.7,73.55,73.38,54,92,6.15
180,Thompson,CA,2022-12-11 22:29:15,55.7435,-97.8558,26.76,100,100,5.75
181,Lazaro Cardenas,MX,2022-12-11 22:29:16,17.9583,-102.2,81.36,67,26,8.72
182,Codrington,AU,2022-12-11 22:29:16,-38.2667,141.9667,54.95,77,44,18.07
183,Nanortalik,GL,2022-12-11 22:29:16,60.1432,-45.2371,23.92,80,71,5.7
184,Vitim,RU,2022-12-11 22:30:17,59.4511,112.5578,-29.27,100,100,3.06
185,Khatanga,RU,2022-12-11 22:30:17,71.9667,102.5,-0.81,95,100,16.24
186,Port Elizabeth,ZA,2022-12-11 22:30:18,-33.918,25.5701,73.09,92,20,20.71
187,Karratha,AU,2022-12-11 22:30:18,-20.7377,116.8463,87.19,30,75,11.52
188,Yumen,CN,2022-12-11 22:30:18,40.2833,97.2,15.53,58,0,24.58
189,Fortuna,US,2022-12-11 22:30:19,40.5982,-124.1573,47.66,81,75,9.22
190,Portland,US,2022-12-11 22:25:27,45.5234,-122.6762,45.99,93,100,3.44
191,Galesong,ID,2022-12-11 22:30:20,-5.3166,119.3661,77.02,78,100,3.76
192,Borba,BR,2022-12-11 22:30:20,-4.3878,-59.5939,83.32,56,100,2.71
193,Evensk,RU,2022-12-11 22:30:20,61.95,159.2333,-9.85,87,91,7.16
194,Vila Franca Do Campo,PT,2022-12-11 22:30:21,37.7167,-25.4333,66.61,88,96,23.51
195,Bailen,ES,2022-12-11 22:30:21,38.0964,-3.7779,62.4,94,96,12.03
196,Ilhabela,BR,2022-12-11 22:30:21,-23.7781,-45.3581,75.33,91,76,6.93
197,Kroya,ID,2022-12-11 22:30:22,-7.6331,109.2461,77.45,83,91,2.28
198,Katobu,ID,2022-12-11 22:30:23,-4.9408,122.5276,78.24,86,99,1.14
199,Cradock,ZA,2022-12-11 22:30:23,-32.1642,25.6192,69.08,76,96,2.13
200,Viedma,AR,2022-12-11 22:30:24,-40.8135,-62.9967,73.18,19,8,9.91
201,Treinta Y Tres,UY,2022-12-11 22:30:24,-33.2333,-54.3833,88.18,26,7,6.24
202,Yulara,AU,2022-12-11 22:30:25,-25.2406,130.9889,70.59,38,0,15.01
203,Nagapattinam,IN,2022-12-11 22:30:25,10.7667,79.8333,75.09,88,54,2.48
204,Richards Bay,ZA,2022-12-11 22:30:26,-28.783,32.0377,71.89,92,100,3.06
205,Kloulklubed,PW,2022-12-11 22:30:26,7.0419,134.2556,79.3,73,97,8.32
206,Novichikha,RU,2022-12-11 22:30:26,52.204,81.3877,9.68,96,100,5.12
207,Mahebourg,MU,2022-12-11 22:30:27,-20.4081,57.7,76.24,78,40,8.05
208,Altos Del Rosario,CO,2022-12-11 22:30:27,8.7944,-74.1658,75.29,94,68,1.45
209,Salair,RU,2022-12-11 22:30:27,54.2312,85.7972,-7.26,100,83,2.13
210,Aklavik,CA,2022-12-11 22:30:28,68.2191,-135.0107,-17.19,94,17,14.25
211,Nanchang,CN,2022-12-11 22:30:28,28.6833,115.8833,41.52,59,80,8.25
212,Kotka,FI,2022-12-11 22:30:28,60.4664,26.9458,22.26,87,100,18.63
213,Goderich,CA,2022-12-11 22:30:29,43.7501,-81.7165,32.92,80,100,2.3
214,Coihaique,CL,2022-12-11 22:30:29,-45.5752,-72.0662,57.15,54,75,8.05
215,Port Hardy,CA,2022-12-11 22:28:12,50.6996,-127.4199,41.18,75,40,4.61
216,Arrecife,ES,2022-12-11 22:30:30,28.963,-13.5477,69.78,94,20,1.14
217,Simpang,ID,2022-12-11 22:30:30,-1.2667,104.0833,72.72,96,100,1.72
218,Harnosand,SE,2022-12-11 22:30:30,62.6323,17.9379,28.4,87,100,16.84
219,Yar-Sale,RU,2022-12-11 22:30:31,66.8333,70.8333,-19.73,99,54,8.19
220,Pitimbu,BR,2022-12-11 22:30:31,-7.4706,-34.8086,81.19,76,4,9.08
221,Weyburn,CA,2022-12-11 22:30:05,49.6668,-103.8511,19.62,86,83,20.71
222,Bongandanga,CD,2022-12-11 22:30:32,1.5,21.05,74.32,78,65,1.95
223,Ocampo,MX,2022-12-11 22:30:32,21.65,-101.5,67.95,22,5,5.55
224,Vardo,NO,2022-12-11 22:30:32,70.3705,31.1107,22.98,86,75,11.5
225,Tatarsk,RU,2022-12-11 22:30:33,55.219,75.9828,-5.44,99,72,6.55
226,Arona,ES,2022-12-11 22:30:33,28.0996,-16.681,67.57,95,40,2.3
227,Makakilo City,US,2022-12-11 22:30:33,21.3469,-158.0858,80.92,54,0,23.02
228,Port Alfred,ZA,2022-12-11 22:30:34,-33.5906,26.891,70.18,94,98,4.0
229,Kiama,AU,2022-12-11 22:25:53,-34.6833,150.8667,77.38,59,100,5.01
230,Atikokan,CA,2022-12-11 22:30:34,48.7555,-91.6216,26.06,94,100,3.62
231,Emerald,AU,2022-12-11 22:31:35,-23.5333,148.1667,77.34,74,17,13.49
232,Salinopolis,BR,2022-12-11 22:31:35,-0.6136,-47.3561,79.34,80,77,10.47
233,Kanigoro,ID,2022-12-11 22:31:35,-8.13,112.219,73.9,91,55,2.35
234,Tchollire,CM,2022-12-11 22:31:36,8.4022,14.1698,70.77,25,1,1.63
235,Obo,CF,2022-12-11 22:31:36,5.3998,26.4869,73.71,31,59,4.0
236,Alice Springs,AU,2022-12-11 22:31:37,-23.7,133.8833,69.35,60,75,16.11
237,Hofn,IS,2022-12-11 22:31:37,64.2539,-15.2082,33.37,68,2,19.66
238,Bandar,ID,2022-12-11 22:31:37,2.05,99.75,71.85,98,100,1.21
239,The Pas,CA,2022-12-11 22:30:29,53.8251,-101.2541,23.02,100,100,20.71
240,Half Moon Bay,US,2022-12-11 22:31:38,37.4636,-122.4286,54.88,72,40,16.11
241,Sorland,NO,2022-12-11 22:31:38,67.667,12.6934,30.06,56,5,12.08
242,Signal Hill,US,2022-12-11 22:31:39,33.8045,-118.1678,60.46,61,75,21.85
243,Corrente,BR,2022-12-11 22:31:39,-3.7367,-43.3394,76.26,84,90,5.35
244,Alekseyevsk,RU,2022-12-11 22:31:40,57.8406,108.3492,-18.02,98,100,3.62
245,Bontang,ID,2022-12-11 22:31:40,0.1333,117.5,77.04,87,98,4.07
246,Qinhuangdao,CN,2022-12-11 22:31:40,39.9317,119.5883,27.79,45,80,9.44
247,San Jeronimo,PE,2022-12-11 22:31:41,-11.9472,-75.2829,55.11,70,100,4.38
248,Lazurne,UA,2022-12-11 22:31:41,46.084,32.5295,53.73,85,100,21.5
249,Garden City,US,2022-12-11 22:29:53,42.3256,-83.331,39.22,76,100,8.05
250,Bangassou,CF,2022-12-11 22:31:42,4.7413,22.8184,70.84,45,34,0.54
251,Putai,FR,2022-12-11 22:31:43,46.6579,1.9863,24.19,65,93,2.13
252,Bilisht,AL,2022-12-11 22:31:43,40.6275,20.99,39.33,89,36,4.5
253,Toora-Khem,RU,2022-12-11 22:31:43,52.4675,96.11,-14.22,99,98,2.71
254,Znamenskoye,RU,2022-12-11 22:31:44,57.1281,73.8282,-7.11,98,68,7.31
255,Puerto El Triunfo,SV,2022-12-11 22:31:44,13.2833,-88.55,90.46,73,1,2.21
256,Kununurra,AU,2022-12-11 22:31:44,-15.7667,128.7333,84.18,89,44,2.3
257,Mandalgovi,MN,2022-12-11 22:31:45,45.7625,106.2708,3.2,51,19,18.12
258,Merauke,ID,2022-12-11 22:31:45,-8.4667,140.3333,81.54,77,100,5.32
259,Altus,US,2022-12-11 22:27:31,34.6381,-99.334,54.91,69,0,5.75
260,Cidreira,BR,2022-12-11 22:31:46,-30.1811,-50.2056,73.56,90,2,14.45
261,San Antonio Ilotenango,GT,2022-12-11 22:31:46,15.0547,-91.2297,73.51,68,71,5.06
262,Fort Saint James,CA,2022-12-11 22:31:47,54.4333,-124.25,11.5,90,40,0.85
263,Faanui,PF,2022-12-11 22:31:47,-16.4833,-151.75,76.46,82,100,15.41
264,Nome,US,2022-12-11 22:31:47,64.5011,-165.4064,26.67,86,100,11.5
