City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Mezen,RU,65.8522,44.24,-6.14,96,100,7.27,overcast clouds
277,Hithadhoo,MV,-0.6,73.0833,81.61,76,100,15.39,overcast clouds
278,Atambua,ID,-9.1061,124.8925,84.25,64,49,1.63,scattered clouds
279,Kruisfontein,ZA,-34.0033,24.7314,69.89,89,100,4.23,overcast clouds
280,Kingaroy,AU,-26.5333,151.8333,83.75,54,100,8.84,overcast clouds
281,Livingston,GB,55.9029,-3.5226,23.49,93,0,4.61,clear sky
282,Predivinsk,RU,57.0669,93.4378,-9.62,96,100,2.37,overcast clouds
283,Kizhinga,RU,51.8462,109.9097,-11.47,92,25,5.01,scattered clouds
284,Saldanha,ZA,-33.0117,17.9442,64.45,94,0,7.09,clear sky
285,Hargeysa,SO,9.56,44.065,55.63,95,9,9.37,clear sky
286,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,75,5.75,light rain
287,Puri,IN,19.8,85.85,64.92,69,0,5.68,clear sky
288,Marrakesh,MA,31.6315,-8.0083,60.87,88,75,1.14,broken clouds
289,Carbonia,IT,39.1672,8.5222,57.85,91,100,15.1,overcast clouds
290,Coahuayana,MX,18.7333,-103.6833,72.99,88,26,0.87,scattered clouds
291,Matara,LK,5.9485,80.5353,72.72,84,36,3.65,scattered clouds
292,Akdepe,TM,42.0551,59.3788,12.29,48,0,9.4,clear sky
293,Beira,MZ,-19.8436,34.8389,78.89,83,20,0.0,light rain
294,Hastings,GB,50.8552,0.5729,37.78,70,90,13.67,overcast clouds
295,Mitsamiouli,KM,-11.3847,43.2844,80.11,78,78,10.36,broken clouds
296,Ponferrada,ES,42.5466,-6.5962,55.22,97,100,3.0,overcast clouds
297,Abu Zabad,SD,12.35,29.25,65.59,20,4,10.2,clear sky
298,Melipilla,CL,-33.7,-71.2167,59.81,57,0,4.45,clear sky
299,Kavaratti,IN,10.5669,72.642,80.33,80,100,20.92,moderate rain
300,Zaltan,LY,32.947,11.8665,63.45,68,0,8.46,clear sky
301,Solok,ID,-0.7918,100.6593,70.75,93,100,1.77,overcast clouds
302,Yanliang,CN,34.6592,109.2292,32.99,24,42,0.72,scattered clouds
303,Santiago,CL,-33.4569,-70.6483,82.26,26,0,13.8,clear sky
304,Ornskoldsvik,SE,63.2909,18.7153,13.15,85,100,13.8,overcast clouds
305,Balakhninskiy,RU,58.0106,114.2769,-26.91,98,100,1.1,overcast clouds
306,At-Bashi,KG,41.1702,75.8106,7.16,63,49,3.31,scattered clouds
307,Manzhouli,CN,49.6,117.4333,-7.74,88,100,19.82,overcast clouds
308,Gigmoto,PH,13.7796,124.39,82.53,73,100,5.55,overcast clouds
309,Grindavik,IS,63.8424,-22.4338,24.75,80,8,4.61,clear sky
310,Basco,PH,20.4487,121.9702,77.88,71,100,29.37,overcast clouds
311,Katsuura,JP,35.1333,140.3,44.62,90,100,11.14,light rain
312,Plastun,RU,44.7561,136.2939,28.09,71,100,7.7,overcast clouds
313,Kalat,PK,29.0225,66.5916,34.5,62,0,4.65,clear sky
314,Margate,GB,51.3813,1.3862,36.9,76,11,4.0,few clouds
315,Cockburn Town,TC,21.4612,-71.1419,76.1,65,6,7.23,clear sky
316,Ziro,IN,27.6333,93.8333,32.74,73,48,1.83,scattered clouds
317,Ahipara,NZ,-35.1667,173.1667,71.02,77,54,2.46,broken clouds
318,Chirongui,YT,-12.9319,45.1483,80.53,76,10,11.16,light rain
319,Tessalit,ML,20.1986,1.0114,69.06,12,0,7.31,clear sky
320,Rio Gallegos,AR,-51.6226,-69.2181,66.25,30,0,11.5,clear sky
321,Neftcala,AZ,39.3742,49.2472,44.38,81,80,7.2,broken clouds
322,Chicama,PE,-7.8447,-79.1469,68.54,76,100,5.48,overcast clouds
323,Manavalakurichi,IN,8.1333,77.3,76.46,83,66,5.12,broken clouds
324,Biala Podlaska,PL,52.0324,23.1165,29.44,92,100,14.83,overcast clouds
325,Chapais,CA,49.7834,-74.8492,6.58,98,74,4.65,broken clouds
326,Nadym,RU,65.5333,72.5167,-18.78,98,31,2.71,scattered clouds
327,Makakilo City,US,21.3469,-158.0858,80.92,60,40,17.27,scattered clouds
328,Cabo San Lucas,MX,22.8909,-109.9124,75.51,68,98,11.48,overcast clouds
329,Fairbanks,US,64.8378,-147.7164,11.23,85,100,5.75,light snow
330,Olinda,BR,-8.0089,-34.8553,80.33,74,75,6.91,broken clouds
331,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,87,100,17.9,overcast clouds
332,Wageningen,NL,51.9667,5.6667,26.94,92,5,2.3,clear sky
333,Voyvozh,RU,62.892,54.9635,-7.85,96,100,5.12,overcast clouds
334,Cortes,ES,41.9395,-1.4396,44.65,85,100,1.43,overcast clouds
335,Leshan,CN,29.5623,103.7639,48.74,65,100,3.6,overcast clouds
336,Safranbolu,TR,41.2508,32.6942,46.67,87,53,2.21,broken clouds
337,Sambava,MG,-14.2667,50.1667,73.89,89,17,9.75,few clouds
338,Dodoma,TZ,-6.1722,35.7395,69.71,73,20,11.5,few clouds
339,Saint-Pierre,RE,-21.3393,55.4781,73.9,68,0,4.61,clear sky
